Function,Short Description
:funcsketch:func:`acos`, Arccosine function (:math:`\arccos(x)`).
:funcsketch:func:`acosh`, Hyperbolic arccosine function (:math:`\mathrm{acosh}(x)`).
:funcsketch:func:`asin`, Arcsine function (:math:`\arcsin(x)`).
:funcsketch:func:`asinh`, Hyperbolic arcsine function (:math:`\mathrm{asinh}(x)`).
:funcsketch:func:`atan`, Arctangent function (:math:`\arctan(x)`).
:funcsketch:func:`atan2`, "Arctangent function of two variables (:math:`\mathrm{atan2}(y, x)`)."
:funcsketch:func:`atanh`, Hyperbolic arctangent function (:math:`\mathrm{atanh}(x)`).
:funcsketch:func:`cbrt`, Cube root function (:math:`\sqrt[3]{x}`).
:funcsketch:func:`cos`, Cosine function (:math:`\cos(x)`).
:funcsketch:func:`cosh`, Hyperbolic cosine function (:math:`\cosh(x)`).
:funcsketch:func:`erf`, Error function (:math:`\mathrm{erf}(x)`).
:funcsketch:func:`exp`, Exponential function (:math:`e^x`).
:funcsketch:func:`exp2`, Base-2 exponential function (:math:`2^x`).
:funcsketch:func:`expm1`, Exponential-minus-one function (:math:`e^x - 1`).
:funcsketch:func:`log`, Natural logarithm function (:math:`\log(x)`).
:funcsketch:func:`log1p`, Natural logarithm of one plus x function (:math:`\log(1+x)`).
:funcsketch:func:`log10`, Base-10 logarithm function (:math:`\log_{10}(x)`).
:funcsketch:func:`log2`, Base-2 logarithm function (:math:`\log_{2}(x)`).
:funcsketch:func:`pow`, Power function (:math:`\mathrm{base}^{\mathrm{exponent}}`).
:funcsketch:func:`sin`, Sine function (:math:`\sin(x)`).
:funcsketch:func:`sinh`, Hyperbolic sine function (:math:`\sinh(x)`).
:funcsketch:func:`sqrt`, Square root function (:math:`\sqrt{x}`).
:funcsketch:func:`tan`, Tangent function (:math:`\tan(x)`).
:funcsketch:func:`tanh`, Hyperbolic tangent function (:math:`\tanh(x)`).
